Student_ID,Age,Gender,Education_Level,Course_Name,Time_Spent_on_Videos,Quiz_Attempts,Quiz_Scores,Forum_Participation,Assignment_Completion_Rate,Engagement_Level,Final_Exam_Score,Learning_Style,Feedback_Score,Dropout_Likelihood
S08067,48,Male,Undergraduate,Data Science,182,3,85,34,68,High,69,Reading/Writing,3,No
S08068,23,Female,High School,Data Science,495,4,62,44,74,Low,70,Auditory,3,No
S08069,40,Female,Undergraduate,Python Basics,181,1,92,7,80,Low,76,Visual,1,No
S08070,44,Female,High School,Data Science,38,1,36,9,46,Medium,75,Kinesthetic,1,No
S08071,19,Female,Undergraduate,Machine Learning,456,2,41,24,82,Medium,72,Auditory,2,Yes
S08072,17,Male,High School,Data Science,201,4,99,11,81,High,77,Visual,1,No
S08073,19,Female,Postgraduate,Web Development,384,1,30,36,61,Medium,80,Kinesthetic,5,No
S08074,26,Female,Undergraduate,Machine Learning,312,3,36,12,52,High,57,Kinesthetic,1,No
S08075,44,Female,Postgraduate,Cybersecurity,186,2,91,13,89,High,77,Kinesthetic,5,No
S08076,28,Female,High School,Machine Learning,102,1,63,39,55,Low,49,Kinesthetic,3,No
S08077,19,Male,Undergraduate,Web Development,293,1,64,0,47,High,39,Kinesthetic,3,Yes
S08078,30,Female,Undergraduate,Cybersecurity,128,2,87,44,97,Medium,89,Reading/Writing,3,Yes
S08079,39,Female,Undergraduate,Cybersecurity,120,2,69,32,88,High,42,Auditory,2,No
S08080,40,Female,Undergraduate,Python Basics,352,3,73,17,78,Medium,58,Auditory,3,No
S08081,22,Male,Postgraduate,Web Development,253,3,77,11,63,High,60,Reading/Writing,4,No
S08082,40,Male,High School,Data Science,414,3,47,28,69,Medium,63,Auditory,5,No
S08083,47,Male,High School,Cybersecurity,442,3,49,17,87,High,85,Kinesthetic,1,No
S08084,39,Female,Postgraduate,Web Development,179,4,72,41,47,Low,47,Auditory,2,Yes
S08085,45,Male,Undergraduate,Python Basics,429,3,51,8,66,High,85,Visual,1,No
S08086,47,Female,Postgraduate,Python Basics,457,3,99,24,85,Medium,82,Visual,4,Yes
S08087,49,Female,Postgraduate,Web Development,318,2,37,9,92,High,85,Kinesthetic,2,No
S08088,30,Male,Undergraduate,Data Science,342,3,72,15,49,Medium,35,Visual,3,No
S08089,49,Female,High School,Machine Learning,89,3,33,48,52,High,62,Auditory,3,No
S08090,32,Female,Undergraduate,Web Development,114,1,39,48,69,High,96,Visual,3,Yes
S08091,27,Male,Postgraduate,Python Basics,94,4,76,39,82,High,30,Reading/Writing,4,No
S08092,19,Female,Undergraduate,Python Basics,137,2,66,22,57,Low,85,Auditory,1,No
S08093,22,Male,Undergraduate,Cybersecurity,212,2,78,17,54,Low,81,Visual,1,No
S08094,18,Male,Undergraduate,Machine Learning,50,1,71,40,73,Medium,82,Reading/Writing,2,No
S08095,45,Male,Undergraduate,Machine Learning,220,1,70,25,64,Medium,87,Kinesthetic,3,Yes
S08096,40,Female,High School,Python Basics,78,2,61,37,57,High,62,Reading/Writing,3,No
S08097,49,Female,Undergraduate,Python Basics,317,3,85,44,74,Medium,31,Kinesthetic,2,No
S08098,34,Female,Undergraduate,Data Science,295,3,46,40,41,Medium,43,Kinesthetic,4,Yes
S08099,45,Female,Postgraduate,Machine Learning,251,3,32,25,71,Medium,53,Kinesthetic,5,No
S08100,43,Male,Postgraduate,Python Basics,229,3,33,35,75,Low,55,Auditory,3,Yes
S08101,29,Female,Undergraduate,Web Development,361,3,37,45,78,High,42,Reading/Writing,5,No
S08102,37,Female,High School,Data Science,364,3,55,13,60,Medium,62,Kinesthetic,5,Yes
S08103,30,Male,Undergraduate,Python Basics,166,4,75,4,89,High,93,Kinesthetic,3,No
S08104,45,Female,Undergraduate,Machine Learning,45,2,59,13,52,High,65,Auditory,4,No
S08105,44,Female,High School,Cybersecurity,399,1,51,7,95,Medium,40,Visual,5,No
S08106,25,Female,Undergraduate,Web Development,482,1,78,38,87,Low,40,Reading/Writing,3,No
S08107,37,Female,High School,Cybersecurity,406,3,90,31,84,Low,62,Visual,5,Yes
S08108,21,Male,Undergraduate,Data Science,196,2,77,30,61,Medium,68,Visual,3,No
S08109,43,Male,Undergraduate,Machine Learning,122,3,38,46,46,High,93,Visual,4,No
S08110,43,Female,Undergraduate,Web Development,288,4,50,0,72,Medium,35,Reading/Writing,3,No
S08111,42,Female,Postgraduate,Web Development,222,1,52,7,55,Medium,58,Kinesthetic,2,No
S08112,41,Female,Undergraduate,Web Development,76,4,51,41,97,Low,60,Kinesthetic,4,No
S08113,22,Female,Undergraduate,Machine Learning,276,2,65,38,60,High,90,Auditory,3,No
S08114,15,Female,Postgraduate,Data Science,374,4,43,6,42,Medium,61,Auditory,5,No
S08115,26,Female,Undergraduate,Data Science,434,3,37,16,81,Medium,50,Visual,5,No
S08116,40,Female,Undergraduate,Cybersecurity,112,4,85,10,49,High,69,Auditory,2,No
S08117,49,Female,Undergraduate,Cybersecurity,430,4,42,16,49,Medium,73,Auditory,3,No
S08118,49,Female,High School,Cybersecurity,365,1,88,30,74,Medium,99,Visual,4,No
S08119,36,Male,Undergraduate,Cybersecurity,314,4,38,16,62,High,81,Reading/Writing,5,No
S08120,32,Female,Undergraduate,Data Science,265,4,36,34,54,Medium,48,Visual,5,Yes
S08121,42,Male,Postgraduate,Python Basics,444,1,74,38,97,Medium,72,Reading/Writing,1,No
S08122,38,Male,Undergraduate,Data Science,441,2,88,23,70,High,85,Kinesthetic,5,No
S08123,17,Other,Postgraduate,Python Basics,404,4,65,22,71,Medium,37,Kinesthetic,4,No
S08124,39,Female,Undergraduate,Machine Learning,107,4,78,32,71,High,99,Kinesthetic,2,Yes
S08125,31,Male,Undergraduate,Web Development,190,2,41,39,51,Medium,45,Kinesthetic,4,No
S08126,24,Male,Undergraduate,Python Basics,181,4,74,37,91,Medium,38,Visual,2,Yes
S08127,25,Female,Postgraduate,Python Basics,115,3,43,17,95,High,33,Kinesthetic,3,No
S08128,35,Female,Postgraduate,Machine Learning,370,2,30,45,49,Medium,70,Visual,1,No
S08129,18,Male,Postgraduate,Python Basics,134,2,76,31,61,Medium,38,Visual,1,No
S08130,42,Male,Undergraduate,Cybersecurity,291,4,72,20,58,Medium,92,Auditory,4,Yes
S08131,27,Male,Postgraduate,Python Basics,366,2,93,8,62,Medium,54,Auditory,4,No
S08132,17,Female,High School,Data Science,110,4,61,9,79,Low,33,Visual,1,Yes
S08133,22,Female,Undergraduate,Data Science,457,4,87,43,92,Medium,48,Reading/Writing,4,Yes
S08134,49,Female,Postgraduate,Data Science,188,3,42,32,77,Low,45,Visual,3,No
S08135,21,Female,Undergraduate,Data Science,149,2,48,14,48,Low,52,Kinesthetic,1,No
S08136,45,Male,Undergraduate,Machine Learning,448,1,50,18,46,Medium,72,Auditory,4,No
S08137,29,Female,Undergraduate,Data Science,289,4,33,29,60,High,30,Kinesthetic,2,No
S08138,43,Other,Undergraduate,Data Science,218,2,55,1,63,High,90,Visual,1,No
S08139,21,Male,High School,Machine Learning,347,3,97,17,69,High,87,Kinesthetic,5,No
S08140,34,Male,Undergraduate,Cybersecurity,368,4,42,49,63,Medium,73,Auditory,4,No
S08141,21,Female,High School,Machine Learning,452,2,80,14,77,Medium,56,Auditory,4,No
S08142,47,Female,Undergraduate,Data Science,302,3,90,19,75,High,90,Kinesthetic,3,No
S08143,29,Male,High School,Data Science,389,2,74,37,99,Medium,35,Kinesthetic,3,Yes
S08144,37,Male,High School,Cybersecurity,422,3,86,44,86,High,31,Reading/Writing,1,No
S08145,41,Female,Undergraduate,Cybersecurity,336,4,68,35,54,High,32,Auditory,4,Yes
S08146,45,Male,High School,Python Basics,373,3,67,47,69,Medium,94,Kinesthetic,1,No
S08147,17,Male,Undergraduate,Cybersecurity,222,4,46,20,42,Medium,81,Auditory,3,No
S08148,40,Male,Postgraduate,Data Science,305,3,99,20,42,Medium,97,Visual,3,No
S08149,17,Male,Postgraduate,Cybersecurity,375,2,70,27,94,Medium,83,Auditory,3,No
S08150,18,Male,Undergraduate,Python Basics,176,1,48,25,87,High,76,Auditory,3,No
S08151,43,Male,Undergraduate,Data Science,70,3,57,43,63,High,30,Reading/Writing,5,No
S08152,17,Female,High School,Python Basics,317,2,71,49,44,Medium,93,Kinesthetic,1,Yes
S08153,32,Male,High School,Cybersecurity,432,3,43,49,52,Medium,86,Auditory,2,No
S08154,25,Female,Postgraduate,Python Basics,352,3,55,21,51,Low,82,Visual,2,No
S08155,25,Female,High School,Python Basics,333,3,93,22,56,High,72,Auditory,5,Yes
S08156,47,Male,Undergraduate,Cybersecurity,240,2,34,4,80,Low,58,Reading/Writing,1,No
S08157,15,Female,Postgraduate,Cybersecurity,450,3,89,18,98,High,60,Visual,5,No
S08158,34,Female,High School,Machine Learning,81,4,56,44,61,Medium,34,Visual,3,Yes
S08159,49,Female,Postgraduate,Cybersecurity,135,4,63,40,62,High,58,Visual,1,No
S08160,16,Female,Undergraduate,Web Development,399,2,75,21,84,Medium,78,Reading/Writing,4,No
S08161,38,Female,Undergraduate,Cybersecurity,414,4,96,37,69,Low,93,Visual,5,No
S08162,46,Male,High School,Web Development,404,1,69,4,64,Low,67,Visual,4,No
S08163,41,Male,Undergraduate,Machine Learning,12,3,33,47,61,Medium,31,Visual,1,No
S08164,45,Female,Undergraduate,Machine Learning,421,4,84,13,80,Medium,44,Reading/Writing,2,No
S08165,49,Female,Undergraduate,Python Basics,66,4,35,26,74,Medium,82,Reading/Writing,4,No
S08166,24,Female,Undergraduate,Web Development,150,4,96,6,73,High,37,Reading/Writing,5,No
S08167,36,Male,Postgraduate,Machine Learning,387,1,91,1,79,High,63,Visual,3,No
S08168,29,Male,Postgraduate,Machine Learning,361,2,33,16,85,High,94,Auditory,2,No
S08169,27,Female,Undergraduate,Machine Learning,479,2,75,49,73,Medium,75,Kinesthetic,4,No
S08170,42,Female,Undergraduate,Web Development,414,4,40,10,97,Low,35,Visual,2,No
S08171,36,Male,Postgraduate,Python Basics,442,4,98,7,97,High,89,Visual,5,Yes
S08172,26,Male,Undergraduate,Web Development,281,1,62,20,95,Medium,37,Kinesthetic,2,No
S08173,43,Male,High School,Machine Learning,174,3,49,23,85,Low,85,Kinesthetic,4,No
S08174,30,Female,Undergraduate,Machine Learning,166,2,88,8,49,Medium,39,Reading/Writing,4,No
S08175,37,Male,High School,Cybersecurity,58,1,88,33,95,High,80,Kinesthetic,4,No
S08176,36,Male,Undergraduate,Data Science,437,1,57,8,77,Medium,38,Reading/Writing,2,No
S08177,46,Female,Undergraduate,Python Basics,310,3,45,21,78,Medium,45,Visual,5,No
S08178,32,Male,Undergraduate,Data Science,401,1,65,19,58,Low,47,Visual,2,No
S08179,38,Male,Undergraduate,Cybersecurity,376,1,51,43,59,Medium,38,Reading/Writing,4,No
S08180,16,Male,High School,Data Science,384,1,70,18,60,Low,45,Reading/Writing,2,No
S08181,24,Female,High School,Web Development,376,1,40,31,86,Medium,38,Reading/Writing,3,No
S08182,35,Female,Undergraduate,Web Development,475,4,84,42,44,Medium,48,Auditory,3,No
S08183,27,Other,Undergraduate,Data Science,18,4,74,43,43,Medium,54,Auditory,3,No
S08184,42,Male,High School,Web Development,324,1,97,24,47,Medium,34,Auditory,2,No
S08185,36,Male,Undergraduate,Python Basics,29,3,83,13,76,Medium,72,Auditory,1,No
S08186,30,Male,Postgraduate,Python Basics,166,2,57,33,55,Low,38,Reading/Writing,5,No
S08187,23,Female,Postgraduate,Web Development,210,3,48,21,63,High,36,Auditory,4,No
S08188,29,Female,High School,Web Development,409,1,35,43,64,Medium,80,Visual,1,Yes
S08189,20,Female,High School,Python Basics,38,4,53,22,77,Medium,36,Kinesthetic,4,Yes
S08190,24,Female,Undergraduate,Web Development,413,4,85,34,67,Low,56,Auditory,3,No
S08191,21,Female,Undergraduate,Data Science,147,3,65,28,69,High,51,Reading/Writing,1,No
S08192,18,Female,High School,Cybersecurity,125,4,74,21,97,Medium,61,Kinesthetic,4,No
S08193,48,Male,Undergraduate,Cybersecurity,307,1,42,36,84,Medium,90,Visual,2,No
S08194,22,Female,Undergraduate,Machine Learning,130,4,72,48,85,Low,58,Visual,4,No
S08195,44,Male,Undergraduate,Web Development,481,4,40,0,50,Medium,54,Reading/Writing,5,No
S08196,30,Female,Undergraduate,Cybersecurity,58,1,91,25,64,Low,95,Auditory,1,No
S08197,38,Female,Undergraduate,Web Development,381,1,96,40,74,High,60,Kinesthetic,4,No
S08198,17,Female,Postgraduate,Python Basics,198,2,65,26,92,Medium,48,Reading/Writing,4,No
S08199,26,Female,Undergraduate,Machine Learning,311,2,51,42,61,Medium,81,Kinesthetic,1,Yes
S08200,17,Male,High School,Web Development,294,1,54,37,75,High,49,Visual,1,No
S08201,34,Female,Undergraduate,Machine Learning,337,3,30,23,70,High,97,Reading/Writing,3,No
S08202,36,Male,Undergraduate,Machine Learning,471,3,89,41,69,Medium,84,Reading/Writing,3,Yes
S08203,48,Male,High School,Python Basics,272,2,46,28,79,Medium,42,Kinesthetic,1,No
S08204,34,Male,Undergraduate,Web Development,440,2,61,24,49,Low,34,Kinesthetic,4,No
S08205,37,Female,High School,Cybersecurity,204,3,59,21,45,Medium,97,Reading/Writing,3,No
S08206,42,Female,High School,Python Basics,102,3,73,42,88,High,52,Kinesthetic,5,No
S08207,45,Female,Undergraduate,Machine Learning,428,1,50,16,88,High,74,Auditory,1,No
S08208,39,Male,Postgraduate,Machine Learning,307,2,90,33,85,Medium,52,Visual,5,No
S08209,47,Female,Postgraduate,Web Development,484,2,61,4,96,Low,38,Reading/Writing,5,No
S08210,32,Male,Undergraduate,Machine Learning,25,3,36,13,96,Medium,45,Auditory,2,No
S08211,26,Female,High School,Data Science,349,2,54,46,44,High,62,Visual,2,No
S08212,18,Female,Undergraduate,Cybersecurity,52,1,96,2,96,Medium,53,Auditory,1,No
S08213,32,Other,High School,Web Development,255,4,50,10,69,Medium,92,Auditory,3,No
S08214,41,Male,Undergraduate,Cybersecurity,413,2,32,3,44,Medium,32,Reading/Writing,1,No
S08215,42,Male,Undergraduate,Data Science,491,3,70,46,67,Medium,91,Reading/Writing,4,No
S08216,26,Male,Undergraduate,Data Science,332,1,84,1,53,Medium,90,Visual,4,No
S08217,46,Female,Undergraduate,Web Development,306,3,58,24,66,Low,58,Kinesthetic,5,No
S08218,23,Other,Undergraduate,Cybersecurity,378,3,68,7,52,High,68,Visual,5,No
S08219,48,Female,Undergraduate,Web Development,58,1,53,18,60,Medium,53,Kinesthetic,2,Yes
S08220,37,Female,Undergraduate,Machine Learning,167,1,68,27,90,Medium,43,Kinesthetic,3,No
S08221,27,Male,Undergraduate,Web Development,383,2,88,33,51,Medium,71,Reading/Writing,1,Yes
S08222,45,Female,High School,Python Basics,126,3,96,11,61,Medium,48,Auditory,5,Yes
S08223,21,Female,Undergraduate,Web Development,178,4,81,36,51,Low,52,Auditory,5,No
S08224,19,Female,Postgraduate,Python Basics,434,2,30,35,55,Medium,31,Reading/Writing,4,No
S08225,41,Female,Postgraduate,Data Science,436,3,38,12,74,Medium,38,Visual,1,No
S08226,23,Female,Undergraduate,Python Basics,284,2,96,47,55,Low,61,Reading/Writing,5,No
S08227,26,Female,High School,Machine Learning,426,3,76,42,70,High,51,Visual,1,No
S08228,46,Male,Undergraduate,Web Development,414,2,81,19,48,High,64,Auditory,4,No
S08229,35,Female,Undergraduate,Cybersecurity,20,1,74,5,83,Low,89,Kinesthetic,3,No
S08230,32,Female,Undergraduate,Data Science,285,3,76,22,58,Low,30,Kinesthetic,5,Yes
S08231,15,Male,High School,Web Development,38,3,64,38,46,Medium,48,Visual,3,No
S08232,33,Female,High School,Python Basics,52,1,62,40,86,Low,42,Reading/Writing,4,Yes
S08233,21,Male,High School,Web Development,228,2,62,13,46,High,80,Kinesthetic,1,No
S08234,35,Female,Postgraduate,Cybersecurity,67,1,93,31,63,Medium,81,Reading/Writing,5,No
S08235,27,Male,Undergraduate,Machine Learning,122,3,49,8,74,High,73,Kinesthetic,1,Yes
S08236,26,Male,Undergraduate,Cybersecurity,300,3,63,10,62,Medium,89,Kinesthetic,4,No
S08237,39,Female,Undergraduate,Web Development,403,1,43,15,76,Low,34,Auditory,5,No
S08238,35,Female,Undergraduate,Machine Learning,54,4,43,19,51,High,58,Auditory,2,No
S08239,32,Female,Undergraduate,Web Development,205,2,52,22,90,Medium,42,Kinesthetic,2,No
S08240,17,Female,Postgraduate,Python Basics,337,1,49,27,83,Low,55,Visual,4,No
S08241,33,Female,High School,Data Science,307,2,47,49,49,Medium,66,Auditory,1,Yes
S08242,19,Female,Undergraduate,Cybersecurity,31,4,93,8,71,High,99,Auditory,4,No
S08243,24,Female,Undergraduate,Data Science,148,2,80,47,86,Low,31,Visual,3,No
S08244,22,Female,Undergraduate,Cybersecurity,51,1,57,3,46,Medium,40,Kinesthetic,2,No
S08245,25,Female,High School,Cybersecurity,83,2,81,29,51,Medium,61,Auditory,5,Yes
S08246,44,Female,Postgraduate,Web Development,371,1,53,15,51,Low,59,Visual,4,No
S08247,34,Male,Undergraduate,Machine Learning,15,1,88,34,65,Medium,37,Auditory,3,No
S08248,38,Female,Postgraduate,Cybersecurity,466,4,54,27,85,Medium,49,Reading/Writing,5,No
S08249,18,Female,Postgraduate,Web Development,280,1,55,38,84,Medium,38,Auditory,4,Yes
S08250,40,Male,High School,Python Basics,384,1,73,47,98,Medium,73,Auditory,1,No
S08251,44,Female,Undergraduate,Data Science,259,4,39,41,73,Medium,48,Auditory,5,No
S08252,17,Male,Undergraduate,Python Basics,249,1,57,30,97,Medium,75,Auditory,4,No
S08253,30,Female,Undergraduate,Python Basics,232,4,87,5,62,Low,85,Kinesthetic,5,No
S08254,25,Female,Undergraduate,Python Basics,141,2,73,46,99,High,98,Reading/Writing,5,No
S08255,22,Male,Undergraduate,Web Development,149,3,85,7,96,Medium,77,Reading/Writing,5,Yes
S08256,40,Female,Undergraduate,Web Development,478,1,58,42,87,Medium,97,Auditory,5,No
S08257,17,Male,High School,Cybersecurity,382,4,47,18,89,Medium,65,Auditory,3,Yes
S08258,35,Female,Undergraduate,Web Development,59,2,84,11,41,Medium,70,Auditory,4,Yes
S08259,26,Female,Postgraduate,Data Science,424,4,48,42,86,Medium,93,Kinesthetic,2,No
S08260,31,Female,High School,Python Basics,11,3,87,46,52,High,82,Kinesthetic,2,No
S08261,41,Female,High School,Web Development,104,3,77,25,45,Medium,61,Auditory,1,No
S08262,34,Male,Postgraduate,Data Science,62,2,64,26,72,Medium,30,Reading/Writing,2,Yes
S08263,41,Female,Undergraduate,Cybersecurity,320,4,83,36,86,Low,41,Visual,2,No
S08264,20,Female,Undergraduate,Machine Learning,179,1,98,31,42,Medium,74,Kinesthetic,3,No
S08265,41,Female,High School,Machine Learning,408,2,56,17,85,High,65,Reading/Writing,1,No
S08266,31,Female,Undergraduate,Python Basics,484,1,61,47,42,Low,82,Visual,4,No
S08267,19,Male,Undergraduate,Data Science,332,4,65,5,92,Medium,62,Visual,5,No
S08268,30,Other,Undergraduate,Web Development,308,2,84,49,59,Low,73,Visual,5,Yes
S08269,35,Female,Undergraduate,Machine Learning,68,3,60,43,90,High,74,Kinesthetic,2,No
S08270,22,Male,Undergraduate,Data Science,406,1,81,17,84,Medium,83,Auditory,5,No
S08271,42,Male,Undergraduate,Python Basics,404,3,41,26,86,Low,50,Visual,4,No
S08272,18,Female,Undergraduate,Machine Learning,490,4,96,17,42,High,52,Kinesthetic,1,No
S08273,42,Male,Postgraduate,Cybersecurity,61,1,53,28,89,Medium,64,Visual,2,No
S08274,38,Female,Undergraduate,Data Science,179,1,92,14,44,Medium,34,Reading/Writing,3,No
S08275,25,Male,High School,Web Development,287,2,40,15,49,Medium,30,Visual,5,No
S08276,27,Male,Undergraduate,Python Basics,325,3,54,28,64,High,56,Reading/Writing,2,Yes
S08277,31,Male,Undergraduate,Python Basics,264,1,74,49,69,Low,30,Kinesthetic,1,No
S08278,22,Male,Undergraduate,Data Science,421,1,50,21,98,High,71,Reading/Writing,2,Yes
S08279,24,Female,Undergraduate,Machine Learning,349,1,88,19,87,Medium,45,Auditory,5,No
S08280,17,Male,Undergraduate,Web Development,220,2,68,25,87,Medium,78,Auditory,1,Yes
S08281,34,Male,High School,Web Development,111,4,72,25,75,Low,33,Reading/Writing,1,No
S08282,33,Male,High School,Python Basics,35,3,36,21,65,High,81,Auditory,4,No
S08283,28,Male,Undergraduate,Python Basics,216,3,40,21,47,Medium,98,Reading/Writing,2,No
S08284,42,Female,Undergraduate,Data Science,211,3,69,4,59,Medium,39,Kinesthetic,5,No
S08285,20,Male,Postgraduate,Cybersecurity,226,4,41,2,75,Low,34,Auditory,2,No
S08286,36,Male,Postgraduate,Machine Learning,462,4,85,30,59,Medium,71,Reading/Writing,5,No
S08287,15,Female,Undergraduate,Python Basics,468,3,53,17,99,High,63,Auditory,2,No
S08288,37,Other,Undergraduate,Machine Learning,135,4,99,37,67,Low,39,Visual,3,Yes
S08289,45,Other,Undergraduate,Web Development,90,1,34,4,57,High,33,Kinesthetic,3,No
S08290,45,Female,High School,Python Basics,372,4,44,13,53,Medium,43,Reading/Writing,2,Yes
S08291,38,Female,High School,Web Development,396,3,70,10,91,Medium,42,Visual,4,No
S08292,40,Male,Postgraduate,Data Science,144,2,83,11,79,Medium,39,Reading/Writing,4,No
